調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2024/3/4,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2024/2/26,29.4,30.9,32.9,26.9,,,19693.0,15778.0,,,,
2024/2/19,29.4,30.9,32.9,26.9,,,19693.0,15778.0,,,,
2024/2/12,29.0,30.5,32.5,27.0,,,19793.0,15878.0,,,,
2024/2/5,29.0,30.5,32.5,27.4,,,20193.0,16278.0,,,,
2024/1/29,29.0,30.5,32.5,27.5,,,20293.0,16378.0,,,,
2024/1/22,28.9,30.4,32.4,27.7,,,20493.0,16578.0,,,,
2024/1/15,29.0,30.5,32.5,27.8,,,20593.0,16678.0,,,,
2024/1/8,29.2,30.7,32.7,27.8,,,20593.0,16678.0,,,,
2024/1/1,29.5,31.0,33.0,27.9,,,20693.0,16778.0,,,,
2023/12/25,29.6,31.1,33.1,28.0,,,20793.0,16878.0,,,,
2023/12/18,29.2,30.7,32.7,27.9,,,20693.0,16778.0,,,,
2023/12/11,29.5,31.0,33.0,27.6,,,20393.0,16478.0,,,,
2023/12/4,29.5,31.0,33.0,27.0,,,19793.0,15878.0,,,,
2023/11/27,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2023/11/20,29.5,31.0,33.0,27.1,,,19893.0,15978.0,,,,
2023/11/13,29.6,31.1,33.1,27.1,,,19893.0,15978.0,,,,
2023/11/6,29.7,31.2,33.2,27.2,,,19993.0,16078.0,20827.0,,24827.0,
2023/10/30,29.7,31.2,33.2,27.3,,,20093.0,16178.0,,,,
2023/10/23,29.9,31.4,33.4,27.5,,,20293.0,16378.0,,,,
2023/10/16,30.2,31.7,33.7,27.8,,,20593.0,16678.0,,,,
2023/10/9,30.7,32.2,34.2,28.3,,,21093.0,17178.0,,,,
2023/10/2,30.8,32.3,34.3,28.4,,,21193.0,17278.0,,,,
2023/9/25,31.1,32.6,34.6,28.6,,,21393.0,17478.0,,,,
2023/9/18,31.4,32.9,34.9,29.0,,,21793.0,17878.0,,,,
2023/9/11,31.6,33.1,35.1,29.1,,,21893.0,17978.0,,,,
2023/9/4,31.2,32.7,34.7,29.3,,,22093.0,18178.0,,,,
2023/8/28,31.1,32.6,34.6,29.2,,,21993.0,18078.0,,,,
2023/8/21,31.2,32.7,34.7,28.8,,,21593.0,17678.0,,,,
2023/8/14,31.1,32.6,34.6,28.7,,,21493.0,17578.0,,,,
2023/8/7,30.5,32.0,34.0,28.2,,,20993.0,17078.0,,,,
2023/7/31,30.3,31.8,33.8,28.0,,,20793.0,16878.0,,,,
2023/7/24,29.8,31.3,33.3,28.1,,,20893.0,16978.0,,,,
2023/7/17,29.5,31.0,33.0,27.7,,,20493.0,16578.0,,,,
2023/7/10,29.1,30.6,32.6,27.3,,,20093.0,16178.0,,,,
2023/7/3,28.8,30.3,32.3,27.1,,,19893.0,15978.0,,,,
2023/6/26,28.9,30.4,32.4,26.9,,,19693.0,15778.0,,,,
2023/6/19,28.5,30.0,32.0,27.2,,,19993.0,16078.0,,,,
2023/6/12,28.8,30.3,32.3,27.0,,,19793.0,15878.0,,,,
2023/6/5,28.5,30.0,32.0,27.0,,,19793.0,15878.0,,,,
2023/5/29,28.9,30.4,32.4,27.1,,,19893.0,15978.0,,,,
2023/5/22,28.6,30.1,32.1,27.4,,,20193.0,16278.0,,,,
2023/5/15,28.8,30.3,32.3,27.6,,,20393.0,16478.0,,,,
2023/5/8,28.6,30.1,32.1,27.3,,,20093.0,16178.0,,,,
2023/5/1,29.6,31.1,33.1,27.5,,,20293.0,16378.0,,,,
