里程,發生次數
0.5,1
1.3,3
1.9,4
2.0,12
3.0,2
3.7,1
4.9,1
5.0,29
5.1,1
5.7,1
6.0,14
6.1,5
6.2,2
6.3,2
6.4,3
6.7,1
6.8,4
6.9,3
7.0,9
7.1,2
7.3,4
7.4,6
7.5,2
7.6,1
7.7,8
7.8,9
8.0,5
8.1,3
8.2,3
8.3,5
8.6,2
8.7,1
8.8,5
9.0,12
9.2,4
9.4,3
9.5,6
9.6,15
9.7,3
9.8,2
10.0,33
10.2,1
10.5,2
11.0,19
11.5,1
11.6,1
11.7,3
11.8,2
12.1,1
12.2,2
12.5,1
12.6,7
12.7,8
12.8,5
13.1,1
13.3,2
13.4,5
13.7,4
13.8,3
14.0,5
14.2,1
14.4,4
14.6,2
14.7,2
14.8,5
15.0,15
15.1,3
15.2,4
15.3,4
15.4,7
15.5,22
15.6,4
15.7,5
15.8,10
15.9,6
16.0,3
16.1,10
16.2,1
16.3,5
16.4,3
16.5,2
16.6,4
16.8,2
16.9,1
17.0,16
17.1,2
17.3,4
17.4,8
17.5,5
17.6,1
17.7,3
17.8,1
18.0,43
18.1,14
18.2,5
18.3,12
18.5,3
18.6,2
18.7,1
18.8,4
18.9,2
19.0,6
19.1,4
19.2,6
19.3,4
19.4,19
19.5,1
19.6,6
19.7,8
19.8,10
19.9,4
20.0,14
20.1,6
20.2,5
20.4,22
20.5,6
20.6,3
20.7,4
20.8,3
20.9,2
21.0,3
21.2,5
21.3,5
21.4,2
21.5,4
21.6,15
21.7,4
21.8,2
21.9,2
22.0,12
22.1,4
22.2,7
22.3,8
22.4,8
22.5,5
22.6,6
22.7,8
22.8,5
22.9,1
23.0,57
23.1,2
23.3,5
23.4,1
23.6,4
23.7,2
23.8,12
23.9,7
24.0,12
24.1,3
24.2,12
24.3,3
24.4,3
24.5,8
24.8,11
24.9,8
25.0,26
25.3,3
25.5,2
25.7,3
26.3,2
26.4,1
26.5,2
26.7,8
26.8,9
27.0,12
27.1,1
27.25,1
27.3,1
27.5,1
27.7,2
27.8,7
27.9,3
28.0,4
28.1,2
28.2,4
28.5,1
28.6,4
28.7,2
28.8,2
28.9,4
29.0,10
29.2,6
29.3,6
29.4,4
29.5,4
29.6,3
29.7,1
29.8,1
30.0,3
30.2,2
30.3,1
30.5,2
30.6,6
30.7,8
30.8,3
30.9,2
31.0,10
31.1,9
31.2,12
31.3,8
31.4,11
31.5,22
31.6,8
31.8,8
31.9,2
32.0,31
32.1,1
32.4,4
32.5,4
32.6,9
32.7,7
32.9,5
33.0,133
33.1,9
33.2,7
33.3,9
33.4,3
33.5,2
33.6,9
33.7,3
33.8,9
33.9,13
34.0,8
34.2,2
34.3,9
34.5,30
34.6,43
34.7,25
34.8,5
34.9,9
35.0,18
35.1,1
35.2,2
