時間,里程,南北向,小客車,小貨車,大客車,大貨車,聯結車,速度,顏色
1,5.0,1.0,33.0,3.0,0.0,0.0,0.0,90,green
1,5.0,2.0,24.0,5.0,2.0,0.0,0.0,90,green
1,17.0,1.0,32.0,3.0,0.0,0.0,0.0,93,green
1,17.0,2.0,24.0,6.0,0.0,0.0,0.0,93,green
1,29.0,1.0,38.0,3.0,0.0,1.0,0.0,93,green
1,29.0,2.0,33.0,5.0,1.0,4.0,0.0,93,green
1,61.0,1.0,55.0,8.0,0.0,1.0,3.0,97,green
1,61.0,2.0,46.0,12.0,1.0,3.0,2.0,97,green
1,99.0,1.0,62.0,9.0,2.0,2.0,1.0,97,green
1,99.0,2.0,55.0,18.0,0.0,3.0,0.0,97,green
1,147.0,1.0,56.0,10.0,4.0,0.0,1.0,97,green
1,147.0,2.0,32.0,10.0,0.0,2.0,3.0,97,green
1,153.0,1.0,80.0,13.0,2.0,0.0,2.0,97,green
1,153.0,2.0,55.0,15.0,1.0,3.0,4.0,97,green
1,163.0,2.0,37.0,6.0,0.0,0.0,0.0,100,green
1,174.0,1.0,42.0,4.0,0.0,1.0,0.0,111,green
1,182.0,2.0,52.0,9.0,1.0,2.0,2.0,97,green
1,200.0,1.0,45.0,11.0,0.0,0.0,0.0,100,green
1,206.0,2.0,41.0,6.0,0.0,1.0,0.0,100,green
1,208.0,1.0,55.0,16.0,0.0,0.0,0.0,100,green
1,213.0,1.0,59.0,10.0,1.0,6.0,4.0,97,green
1,233.0,1.0,107.0,12.0,1.0,5.0,3.0,97,green
1,248.0,2.0,125.0,18.0,3.0,6.0,5.0,97,green
1,256.0,1.0,93.0,11.0,0.0,3.0,5.0,99,green
1,264.0,2.0,105.0,14.0,1.0,1.0,4.0,97,green
1,271.0,1.0,75.0,17.0,0.0,0.0,0.0,100,green
1,293.0,1.0,97.0,5.0,5.0,4.0,3.0,100,green
1,293.0,2.0,111.0,11.0,4.0,1.0,3.0,100,green
1,305.0,2.0,77.0,10.0,1.0,0.0,0.0,100,green
1,333.0,1.0,45.0,7.0,0.0,0.0,0.0,100,green
1,334.0,2.0,34.0,8.0,0.0,0.0,0.0,99,green
1,339.0,2.0,178.0,24.0,7.0,2.0,1.0,97,green
1,340.0,1.0,190.0,23.0,11.0,8.0,2.0,102,green
1,376.0,1.0,127.0,13.0,5.0,4.0,1.0,97,green
1,376.0,2.0,129.0,21.0,4.0,2.0,2.0,97,green
1,413.0,1.0,88.0,9.0,2.0,2.0,1.0,100,green
1,413.0,2.0,101.0,13.0,8.0,1.0,1.0,100,green
1,447.0,1.0,95.0,20.0,2.0,1.0,0.0,97,green
1,447.0,2.0,86.0,16.0,0.0,0.0,0.0,97,green
1,467.0,1.0,143.0,20.0,10.0,9.0,7.0,100,green
1,467.0,2.0,109.0,23.0,6.0,4.0,0.0,100,green
1,492.0,1.0,102.0,21.0,9.0,6.0,6.0,100,green
1,492.0,2.0,57.0,9.0,1.0,3.0,1.0,100,green
1,511.0,1.0,151.0,29.0,8.0,8.0,3.0,108,green
1,511.0,2.0,86.0,12.0,1.0,5.0,2.0,108,green
1,532.0,1.0,109.0,14.0,4.0,4.0,2.0,100,green
1,532.0,2.0,83.0,12.0,1.0,3.0,3.0,100,green
1,557.0,1.0,116.0,15.0,5.0,7.0,3.0,104,green
1,557.0,2.0,94.0,12.0,2.0,5.0,5.0,104,green
1,578.0,2.0,76.0,7.0,2.0,5.0,6.0,97,green
1,579.0,1.0,61.0,7.0,0.0,0.0,0.0,100,green
1,579.0,2.0,80.0,11.0,3.0,0.0,0.0,100,green
1,584.0,1.0,107.0,11.0,3.0,9.0,8.0,100,green
1,608.0,1.0,52.0,12.0,1.0,0.0,0.0,108,green
1,610.0,2.0,49.0,11.0,3.0,0.0,0.0,100,green
1,633.0,1.0,75.0,11.0,2.0,4.0,13.0,104,green
1,633.0,2.0,86.0,10.0,2.0,7.0,4.0,104,green
1,664.0,1.0,59.0,12.0,2.0,2.0,12.0,104,green
1,664.0,2.0,68.0,16.0,5.0,9.0,2.0,104,green
1,681.0,1.0,65.0,8.0,1.0,2.0,8.0,104,green
1,681.0,2.0,78.0,16.0,5.0,11.0,2.0,104,green
1,699.0,1.0,75.0,11.0,0.0,3.0,5.0,100,green
1,699.0,2.0,42.0,13.0,3.0,6.0,4.0,100,green
1,750.0,1.0,115.0,19.0,2.0,5.0,5.0,104,green
1,750.0,2.0,96.0,13.0,1.0,4.0,4.0,104,green
1,880.0,1.0,135.0,21.0,4.0,3.0,6.0,100,green
1,880.0,2.0,112.0,14.0,4.0,2.0,7.0,100,green
1,928.0,1.0,134.0,16.0,4.0,8.0,7.0,102,green
1,928.0,2.0,97.0,8.0,4.0,2.0,4.0,102,green
1,950.0,2.0,77.0,7.0,5.0,1.0,5.0,104,green
1,956.0,1.0,94.0,15.0,3.0,6.0,4.0,108,green
1,979.0,1.0,123.0,16.0,3.0,6.0,3.0,104,green
1,980.0,2.0,82.0,9.0,7.0,4.0,7.0,100,green
1,1045.0,1.0,137.0,18.0,5.0,3.0,8.0,104,green
1,1045.0,2.0,75.0,9.0,5.0,3.0,4.0,104,green
1,1123.0,1.0,110.0,26.0,1.0,4.0,3.0,104,green
1,1123.0,2.0,57.0,8.0,3.0,1.0,3.0,104,green
1,1292.0,1.0,113.0,8.0,2.0,2.0,1.0,104,green
1,1292.0,2.0,59.0,9.0,4.0,2.0,2.0,104,green
1,1389.0,1.0,101.0,13.0,2.0,2.0,7.0,108,green
1,1389.0,2.0,71.0,10.0,7.0,3.0,0.0,108,green
1,1465.0,1.0,106.0,14.0,1.0,3.0,0.0,104,green
1,1465.0,2.0,79.0,12.0,5.0,4.0,3.0,104,green
1,1572.0,1.0,80.0,16.0,0.0,2.0,5.0,104,green
1,1572.0,2.0,55.0,8.0,2.0,3.0,3.0,104,green
1,1621.0,1.0,89.0,18.0,1.0,5.0,7.0,106,green
1,1621.0,2.0,63.0,10.0,4.0,1.0,2.0,106,green
1,1664.0,1.0,100.0,14.0,5.0,2.0,7.0,108,green
1,1664.0,2.0,72.0,6.0,7.0,3.0,1.0,108,green
1,1699.0,1.0,105.0,11.0,2.0,8.0,4.0,108,green
1,1699.0,2.0,74.0,11.0,6.0,5.0,2.0,108,green
1,1774.0,1.0,92.0,18.0,5.0,6.0,6.0,108,green
1,1774.0,2.0,65.0,11.0,7.0,4.0,3.0,108,green
1,1802.0,1.0,103.0,21.0,7.0,4.0,4.0,111,green
1,1802.0,2.0,75.0,14.0,0.0,2.0,4.0,111,green
1,1839.0,1.0,101.0,14.0,3.0,6.0,5.0,111,green
1,1839.0,2.0,69.0,8.0,3.0,2.0,2.0,111,green
1,1906.0,1.0,114.0,8.0,1.0,5.0,3.0,108,green
1,1906.0,2.0,55.0,7.0,3.0,3.0,2.0,108,green
1,1960.0,1.0,158.0,26.0,5.0,10.0,8.0,111,green
1,1960.0,2.0,73.0,14.0,5.0,8.0,6.0,111,green
1,2011.0,1.0,127.0,24.0,3.0,7.0,4.0,108,green
1,2011.0,2.0,71.0,13.0,6.0,2.0,4.0,108,green
1,2089.0,1.0,106.0,26.0,3.0,7.0,8.0,111,green
1,2089.0,2.0,76.0,11.0,2.0,3.0,7.0,111,green
1,2156.0,1.0,115.0,22.0,1.0,7.0,5.0,111,green
1,2156.0,2.0,63.0,11.0,4.0,1.0,6.0,111,green
1,2249.0,1.0,102.0,18.0,2.0,5.0,5.0,111,green
1,2249.0,2.0,65.0,10.0,4.0,4.0,2.0,111,green
1,2322.0,1.0,91.0,18.0,4.0,5.0,6.0,108,green
1,2322.0,2.0,59.0,11.0,3.0,4.0,3.0,108,green
1,2394.0,1.0,90.0,13.0,4.0,10.0,7.0,111,green
1,2394.0,2.0,52.0,11.0,3.0,3.0,5.0,111,green
1,2425.0,1.0,84.0,15.0,4.0,7.0,5.0,111,green
1,2425.0,2.0,56.0,9.0,4.0,4.0,3.0,111,green
1,2472.0,1.0,78.0,12.0,5.0,4.0,4.0,111,green
1,2472.0,2.0,50.0,15.0,3.0,4.0,3.0,111,green
1,2514.0,1.0,81.0,13.0,3.0,1.0,9.0,111,green
1,2514.0,2.0,54.0,16.0,5.0,4.0,3.0,111,green
1,2603.0,1.0,65.0,9.0,3.0,7.0,13.0,111,green
1,2603.0,2.0,39.0,11.0,5.0,3.0,5.0,111,green
1,2674.0,1.0,68.0,8.0,2.0,3.0,10.0,108,green
1,2674.0,2.0,41.0,15.0,2.0,7.0,4.0,108,green
1,2714.0,1.0,56.0,10.0,4.0,4.0,9.0,111,green
1,2714.0,2.0,45.0,11.0,1.0,2.0,1.0,111,green
1,2827.0,1.0,50.0,14.0,1.0,6.0,8.0,111,green
1,2827.0,2.0,90.0,8.0,1.0,9.0,2.0,111,green
1,2866.0,1.0,49.0,7.0,2.0,8.0,13.0,111,green
1,2866.0,2.0,67.0,15.0,3.0,7.0,5.0,111,green
1,2930.0,1.0,56.0,6.0,1.0,3.0,8.0,111,green
1,2930.0,2.0,66.0,15.0,2.0,2.0,6.0,111,green
1,3019.0,1.0,48.0,13.0,1.0,6.0,5.0,108,green
1,3019.0,2.0,95.0,13.0,2.0,6.0,1.0,108,green
1,3083.0,1.0,66.0,12.0,2.0,7.0,15.0,115,green
1,3083.0,2.0,78.0,15.0,5.0,5.0,3.0,115,green
1,3126.0,1.0,70.0,14.0,3.0,7.0,30.0,113,green
1,3126.0,2.0,67.0,18.0,2.0,2.0,3.0,113,green
1,3185.0,1.0,82.0,13.0,4.0,5.0,8.0,111,green
1,3185.0,2.0,89.0,14.0,2.0,3.0,2.0,111,green
1,3227.0,1.0,68.0,10.0,1.0,5.0,5.0,111,green
1,3227.0,2.0,90.0,7.0,8.0,4.0,4.0,111,green
1,3252.0,1.0,55.0,10.0,2.0,1.0,7.0,108,green
1,3252.0,2.0,61.0,16.0,3.0,4.0,4.0,108,green
1,3286.0,1.0,77.0,13.0,0.0,2.0,7.0,108,green
1,3286.0,2.0,77.0,14.0,1.0,2.0,6.0,108,green
1,3366.0,1.0,58.0,15.0,0.0,2.0,9.0,104,green
1,3366.0,2.0,80.0,16.0,0.0,2.0,4.0,104,green
1,3398.0,1.0,60.0,11.0,1.0,4.0,11.0,115,green
1,3398.0,2.0,84.0,16.0,3.0,1.0,3.0,115,green
1,3460.0,1.0,62.0,14.0,4.0,3.0,5.0,111,green
1,3460.0,2.0,71.0,15.0,3.0,2.0,2.0,111,green
1,3535.0,1.0,71.0,14.0,0.0,0.0,13.0,104,green
1,3535.0,2.0,88.0,9.0,3.0,3.0,4.0,104,green
1,3559.0,1.0,48.0,8.0,0.0,2.0,8.0,104,green
1,3561.0,2.0,74.0,10.0,0.0,2.0,4.0,104,green
1,3590.0,1.0,83.0,20.0,0.0,2.0,3.0,104,green
1,3590.0,2.0,107.0,16.0,1.0,0.0,4.0,104,green
1,3640.0,1.0,120.0,22.0,2.0,2.0,5.0,100,green
1,3640.0,2.0,107.0,20.0,0.0,2.0,1.0,100,green
1,3676.0,1.0,56.0,8.0,2.0,0.0,6.0,104,green
1,3676.0,2.0,47.0,12.0,1.0,2.0,2.0,104,green
1,3686.0,2.0,81.0,10.0,0.0,2.0,3.0,88,green
1,3696.0,1.0,82.0,12.0,2.0,1.0,6.0,97,green
1,3736.0,1.0,5.0,1.0,0.0,0.0,0.0,0,purple
1,3736.0,2.0,2.0,0.0,0.0,0.0,0.0,0,purple
2,5.0,1.0,33.0,3.0,0.0,0.0,0.0,93,green
2,5.0,2.0,24.0,5.0,2.0,0.0,0.0,93,green
2,17.0,1.0,32.0,3.0,0.0,0.0,0.0,97,green
2,17.0,2.0,24.0,6.0,0.0,0.0,0.0,97,green
2,29.0,1.0,38.0,3.0,0.0,1.0,0.0,93,green
2,29.0,2.0,33.0,5.0,1.0,4.0,0.0,93,green
2,61.0,1.0,55.0,8.0,0.0,1.0,3.0,100,green
2,61.0,2.0,46.0,12.0,1.0,3.0,2.0,100,green
2,99.0,1.0,62.0,9.0,2.0,2.0,1.0,100,green
2,99.0,2.0,55.0,18.0,0.0,3.0,0.0,100,green
2,147.0,1.0,56.0,10.0,4.0,0.0,1.0,97,green
2,147.0,2.0,32.0,10.0,0.0,2.0,3.0,97,green
2,153.0,1.0,80.0,13.0,2.0,0.0,2.0,97,green
2,153.0,2.0,55.0,15.0,1.0,3.0,4.0,97,green
2,163.0,2.0,37.0,6.0,0.0,0.0,0.0,104,green
2,174.0,1.0,42.0,4.0,0.0,1.0,0.0,111,green
2,182.0,2.0,52.0,9.0,1.0,2.0,2.0,97,green
2,200.0,1.0,45.0,11.0,0.0,0.0,0.0,97,green
2,206.0,2.0,41.0,6.0,0.0,1.0,0.0,100,green
2,208.0,1.0,55.0,16.0,0.0,0.0,0.0,97,green
2,213.0,1.0,59.0,10.0,1.0,6.0,4.0,97,green
2,233.0,1.0,107.0,12.0,1.0,5.0,3.0,100,green
2,248.0,2.0,125.0,18.0,3.0,6.0,5.0,100,green
2,256.0,1.0,93.0,11.0,0.0,3.0,5.0,100,green
2,264.0,2.0,105.0,14.0,1.0,1.0,4.0,100,green
2,271.0,1.0,75.0,17.0,0.0,0.0,0.0,104,green
2,293.0,1.0,97.0,5.0,5.0,4.0,3.0,100,green
2,293.0,2.0,111.0,11.0,4.0,1.0,3.0,100,green
2,305.0,2.0,77.0,10.0,1.0,0.0,0.0,95,green
2,333.0,1.0,45.0,7.0,0.0,0.0,0.0,100,green
2,334.0,2.0,34.0,8.0,0.0,0.0,0.0,100,green
2,339.0,2.0,178.0,24.0,7.0,2.0,1.0,97,green
2,340.0,1.0,190.0,23.0,11.0,8.0,2.0,100,green
2,376.0,1.0,127.0,13.0,5.0,4.0,1.0,97,green
2,376.0,2.0,129.0,21.0,4.0,2.0,2.0,97,green
2,413.0,1.0,88.0,9.0,2.0,2.0,1.0,100,green
2,413.0,2.0,101.0,13.0,8.0,1.0,1.0,100,green
2,447.0,1.0,95.0,20.0,2.0,1.0,0.0,97,green
2,447.0,2.0,86.0,16.0,0.0,0.0,0.0,97,green
2,467.0,1.0,143.0,20.0,10.0,9.0,7.0,97,green
2,467.0,2.0,109.0,23.0,6.0,4.0,0.0,97,green
2,492.0,1.0,102.0,21.0,9.0,6.0,6.0,104,green
2,492.0,2.0,57.0,9.0,1.0,3.0,1.0,104,green
2,511.0,1.0,151.0,29.0,8.0,8.0,3.0,108,green
2,511.0,2.0,86.0,12.0,1.0,5.0,2.0,108,green
2,532.0,1.0,109.0,14.0,4.0,4.0,2.0,100,green
2,532.0,2.0,83.0,12.0,1.0,3.0,3.0,100,green
2,557.0,1.0,116.0,15.0,5.0,7.0,3.0,104,green
2,557.0,2.0,94.0,12.0,2.0,5.0,5.0,104,green
2,578.0,2.0,76.0,7.0,2.0,5.0,6.0,97,green
2,579.0,1.0,61.0,7.0,0.0,0.0,0.0,102,green
2,579.0,2.0,80.0,11.0,3.0,0.0,0.0,102,green
2,584.0,1.0,107.0,11.0,3.0,9.0,8.0,104,green
2,608.0,1.0,52.0,12.0,1.0,0.0,0.0,104,green
2,610.0,2.0,49.0,11.0,3.0,0.0,0.0,104,green
2,633.0,1.0,75.0,11.0,2.0,4.0,13.0,104,green
2,633.0,2.0,86.0,10.0,2.0,7.0,4.0,104,green
2,664.0,1.0,59.0,12.0,2.0,2.0,12.0,100,green
2,664.0,2.0,68.0,16.0,5.0,9.0,2.0,100,green
2,681.0,1.0,65.0,8.0,1.0,2.0,8.0,104,green
2,681.0,2.0,78.0,16.0,5.0,11.0,2.0,104,green
2,699.0,1.0,75.0,11.0,0.0,3.0,5.0,100,green
2,699.0,2.0,42.0,13.0,3.0,6.0,4.0,100,green
2,750.0,1.0,115.0,19.0,2.0,5.0,5.0,108,green
2,750.0,2.0,96.0,13.0,1.0,4.0,4.0,108,green
2,880.0,1.0,135.0,21.0,4.0,3.0,6.0,100,green
2,880.0,2.0,112.0,14.0,4.0,2.0,7.0,100,green
2,928.0,1.0,134.0,16.0,4.0,8.0,7.0,108,green
2,928.0,2.0,97.0,8.0,4.0,2.0,4.0,108,green
2,950.0,2.0,77.0,7.0,5.0,1.0,5.0,104,green
2,956.0,1.0,94.0,15.0,3.0,6.0,4.0,108,green
2,979.0,1.0,123.0,16.0,3.0,6.0,3.0,102,green
2,980.0,2.0,82.0,9.0,7.0,4.0,7.0,104,green
2,1045.0,1.0,137.0,18.0,5.0,3.0,8.0,100,green
2,1045.0,2.0,75.0,9.0,5.0,3.0,4.0,100,green
2,1123.0,1.0,110.0,26.0,1.0,4.0,3.0,104,green
2,1123.0,2.0,57.0,8.0,3.0,1.0,3.0,104,green
2,1292.0,1.0,113.0,8.0,2.0,2.0,1.0,104,green
2,1292.0,2.0,59.0,9.0,4.0,2.0,2.0,104,green
2,1389.0,1.0,101.0,13.0,2.0,2.0,7.0,108,green
2,1389.0,2.0,71.0,10.0,7.0,3.0,0.0,108,green
2,1465.0,1.0,106.0,14.0,1.0,3.0,0.0,108,green
2,1465.0,2.0,79.0,12.0,5.0,4.0,3.0,108,green
2,1572.0,1.0,80.0,16.0,0.0,2.0,5.0,104,green
2,1572.0,2.0,55.0,8.0,2.0,3.0,3.0,104,green
2,1621.0,1.0,89.0,18.0,1.0,5.0,7.0,104,green
2,1621.0,2.0,63.0,10.0,4.0,1.0,2.0,104,green
2,1664.0,1.0,100.0,14.0,5.0,2.0,7.0,108,green
2,1664.0,2.0,72.0,6.0,7.0,3.0,1.0,108,green
2,1699.0,1.0,105.0,11.0,2.0,8.0,4.0,109,green
2,1699.0,2.0,74.0,11.0,6.0,5.0,2.0,109,green
2,1774.0,1.0,92.0,18.0,5.0,6.0,6.0,108,green
2,1774.0,2.0,65.0,11.0,7.0,4.0,3.0,108,green
2,1802.0,1.0,103.0,21.0,7.0,4.0,4.0,115,green
2,1802.0,2.0,75.0,14.0,0.0,2.0,4.0,115,green
2,1839.0,1.0,101.0,14.0,3.0,6.0,5.0,111,green
2,1839.0,2.0,69.0,8.0,3.0,2.0,2.0,111,green
2,1906.0,1.0,114.0,8.0,1.0,5.0,3.0,108,green
2,1906.0,2.0,55.0,7.0,3.0,3.0,2.0,108,green
2,1960.0,1.0,158.0,26.0,5.0,10.0,8.0,111,green
2,1960.0,2.0,73.0,14.0,5.0,8.0,6.0,111,green
2,2011.0,1.0,127.0,24.0,3.0,7.0,4.0,115,green
2,2011.0,2.0,71.0,13.0,6.0,2.0,4.0,115,green
2,2089.0,1.0,106.0,26.0,3.0,7.0,8.0,111,green
2,2089.0,2.0,76.0,11.0,2.0,3.0,7.0,111,green
2,2156.0,1.0,115.0,22.0,1.0,7.0,5.0,111,green
2,2156.0,2.0,63.0,11.0,4.0,1.0,6.0,111,green
2,2249.0,1.0,102.0,18.0,2.0,5.0,5.0,115,green
2,2249.0,2.0,65.0,10.0,4.0,4.0,2.0,115,green
2,2322.0,1.0,91.0,18.0,4.0,5.0,6.0,108,green
2,2322.0,2.0,59.0,11.0,3.0,4.0,3.0,108,green
2,2394.0,1.0,90.0,13.0,4.0,10.0,7.0,111,green
2,2394.0,2.0,52.0,11.0,3.0,3.0,5.0,111,green
2,2425.0,1.0,84.0,15.0,4.0,7.0,5.0,115,green
2,2425.0,2.0,56.0,9.0,4.0,4.0,3.0,115,green
2,2472.0,1.0,78.0,12.0,5.0,4.0,4.0,115,green
2,2472.0,2.0,50.0,15.0,3.0,4.0,3.0,115,green
2,2514.0,1.0,81.0,13.0,3.0,1.0,9.0,115,green
2,2514.0,2.0,54.0,16.0,5.0,4.0,3.0,115,green
2,2603.0,1.0,65.0,9.0,3.0,7.0,13.0,111,green
2,2603.0,2.0,39.0,11.0,5.0,3.0,5.0,111,green
2,2674.0,1.0,68.0,8.0,2.0,3.0,10.0,108,green
2,2674.0,2.0,41.0,15.0,2.0,7.0,4.0,108,green
2,2714.0,1.0,56.0,10.0,4.0,4.0,9.0,111,green
2,2714.0,2.0,45.0,11.0,1.0,2.0,1.0,111,green
2,2827.0,1.0,50.0,14.0,1.0,6.0,8.0,115,green
2,2827.0,2.0,90.0,8.0,1.0,9.0,2.0,115,green
2,2866.0,1.0,49.0,7.0,2.0,8.0,13.0,111,green
2,2866.0,2.0,67.0,15.0,3.0,7.0,5.0,111,green
2,2930.0,1.0,56.0,6.0,1.0,3.0,8.0,111,green
2,2930.0,2.0,66.0,15.0,2.0,2.0,6.0,111,green
2,3019.0,1.0,48.0,13.0,1.0,6.0,5.0,115,green
2,3019.0,2.0,95.0,13.0,2.0,6.0,1.0,115,green
2,3083.0,1.0,66.0,12.0,2.0,7.0,15.0,115,green
2,3083.0,2.0,78.0,15.0,5.0,5.0,3.0,115,green
2,3126.0,1.0,70.0,14.0,3.0,7.0,30.0,111,green
2,3126.0,2.0,67.0,18.0,2.0,2.0,3.0,111,green
2,3185.0,1.0,82.0,13.0,4.0,5.0,8.0,111,green
2,3185.0,2.0,89.0,14.0,2.0,3.0,2.0,111,green
2,3227.0,1.0,68.0,10.0,1.0,5.0,5.0,111,green
2,3227.0,2.0,90.0,7.0,8.0,4.0,4.0,111,green
2,3252.0,1.0,55.0,10.0,2.0,1.0,7.0,108,green
2,3252.0,2.0,61.0,16.0,3.0,4.0,4.0,108,green
2,3286.0,1.0,77.0,13.0,0.0,2.0,7.0,108,green
2,3286.0,2.0,77.0,14.0,1.0,2.0,6.0,108,green
2,3366.0,1.0,58.0,15.0,0.0,2.0,9.0,111,green
2,3366.0,2.0,80.0,16.0,0.0,2.0,4.0,111,green
2,3398.0,1.0,60.0,11.0,1.0,4.0,11.0,111,green
2,3398.0,2.0,84.0,16.0,3.0,1.0,3.0,111,green
2,3460.0,1.0,62.0,14.0,4.0,3.0,5.0,108,green
2,3460.0,2.0,71.0,15.0,3.0,2.0,2.0,108,green
2,3535.0,1.0,71.0,14.0,0.0,0.0,13.0,104,green
2,3535.0,2.0,88.0,9.0,3.0,3.0,4.0,104,green
2,3559.0,1.0,48.0,8.0,0.0,2.0,8.0,106,green
2,3561.0,2.0,74.0,10.0,0.0,2.0,4.0,104,green
2,3590.0,1.0,83.0,20.0,0.0,2.0,3.0,104,green
2,3590.0,2.0,107.0,16.0,1.0,0.0,4.0,104,green
2,3640.0,1.0,120.0,22.0,2.0,2.0,5.0,104,green
2,3640.0,2.0,107.0,20.0,0.0,2.0,1.0,104,green
2,3676.0,1.0,56.0,8.0,2.0,0.0,6.0,104,green
2,3676.0,2.0,47.0,12.0,1.0,2.0,2.0,104,green
2,3686.0,2.0,81.0,10.0,0.0,2.0,3.0,79,yellow
2,3696.0,1.0,82.0,12.0,2.0,1.0,6.0,100,green
2,3736.0,1.0,5.0,1.0,0.0,0.0,0.0,90,green
2,3736.0,2.0,2.0,0.0,0.0,0.0,0.0,90,green
3,5.0,1.0,33.0,3.0,0.0,0.0,0.0,90,green
3,5.0,2.0,24.0,5.0,2.0,0.0,0.0,90,green
3,17.0,1.0,32.0,3.0,0.0,0.0,0.0,93,green
3,17.0,2.0,24.0,6.0,0.0,0.0,0.0,93,green
3,29.0,1.0,38.0,3.0,0.0,1.0,0.0,93,green
3,29.0,2.0,33.0,5.0,1.0,4.0,0.0,93,green
3,61.0,1.0,55.0,8.0,0.0,1.0,3.0,100,green
3,61.0,2.0,46.0,12.0,1.0,3.0,2.0,100,green
3,99.0,1.0,62.0,9.0,2.0,2.0,1.0,97,green
3,99.0,2.0,55.0,18.0,0.0,3.0,0.0,97,green
3,147.0,1.0,56.0,10.0,4.0,0.0,1.0,90,green
3,147.0,2.0,32.0,10.0,0.0,2.0,3.0,90,green
3,153.0,1.0,80.0,13.0,2.0,0.0,2.0,100,green
3,153.0,2.0,55.0,15.0,1.0,3.0,4.0,100,green
3,163.0,2.0,37.0,6.0,0.0,0.0,0.0,104,green
3,174.0,1.0,42.0,4.0,0.0,1.0,0.0,109,green
3,182.0,2.0,52.0,9.0,1.0,2.0,2.0,97,green
3,200.0,1.0,45.0,11.0,0.0,0.0,0.0,100,green
3,206.0,2.0,41.0,6.0,0.0,1.0,0.0,100,green
3,208.0,1.0,55.0,16.0,0.0,0.0,0.0,104,green
3,213.0,1.0,59.0,10.0,1.0,6.0,4.0,100,green
3,233.0,1.0,107.0,12.0,1.0,5.0,3.0,93,green
3,248.0,2.0,125.0,18.0,3.0,6.0,5.0,99,green
3,256.0,1.0,93.0,11.0,0.0,3.0,5.0,97,green
3,264.0,2.0,105.0,14.0,1.0,1.0,4.0,97,green
3,271.0,1.0,75.0,17.0,0.0,0.0,0.0,104,green
3,293.0,1.0,97.0,5.0,5.0,4.0,3.0,100,green
3,293.0,2.0,111.0,11.0,4.0,1.0,3.0,100,green
3,305.0,2.0,77.0,10.0,1.0,0.0,0.0,100,green
3,333.0,1.0,45.0,7.0,0.0,0.0,0.0,100,green
3,334.0,2.0,34.0,8.0,0.0,0.0,0.0,100,green
3,339.0,2.0,178.0,24.0,7.0,2.0,1.0,99,green
3,340.0,1.0,190.0,23.0,11.0,8.0,2.0,104,green
3,376.0,1.0,127.0,13.0,5.0,4.0,1.0,97,green
3,376.0,2.0,129.0,21.0,4.0,2.0,2.0,97,green
3,413.0,1.0,88.0,9.0,2.0,2.0,1.0,100,green
3,413.0,2.0,101.0,13.0,8.0,1.0,1.0,100,green
3,447.0,1.0,95.0,20.0,2.0,1.0,0.0,100,green
3,447.0,2.0,86.0,16.0,0.0,0.0,0.0,100,green
3,467.0,1.0,143.0,20.0,10.0,9.0,7.0,100,green
3,467.0,2.0,109.0,23.0,6.0,4.0,0.0,100,green
3,492.0,1.0,102.0,21.0,9.0,6.0,6.0,104,green
3,492.0,2.0,57.0,9.0,1.0,3.0,1.0,104,green
3,511.0,1.0,151.0,29.0,8.0,8.0,3.0,108,green
3,511.0,2.0,86.0,12.0,1.0,5.0,2.0,108,green
3,532.0,1.0,109.0,14.0,4.0,4.0,2.0,100,green
3,532.0,2.0,83.0,12.0,1.0,3.0,3.0,100,green
3,557.0,1.0,116.0,15.0,5.0,7.0,3.0,100,green
3,557.0,2.0,94.0,12.0,2.0,5.0,5.0,100,green
3,578.0,2.0,76.0,7.0,2.0,5.0,6.0,100,green
3,579.0,1.0,61.0,7.0,0.0,0.0,0.0,104,green
3,579.0,2.0,80.0,11.0,3.0,0.0,0.0,104,green
3,584.0,1.0,107.0,11.0,3.0,9.0,8.0,104,green
3,608.0,1.0,52.0,12.0,1.0,0.0,0.0,111,green
3,610.0,2.0,49.0,11.0,3.0,0.0,0.0,104,green
3,633.0,1.0,75.0,11.0,2.0,4.0,13.0,104,green
3,633.0,2.0,86.0,10.0,2.0,7.0,4.0,104,green
3,664.0,1.0,59.0,12.0,2.0,2.0,12.0,100,green
3,664.0,2.0,68.0,16.0,5.0,9.0,2.0,100,green
3,681.0,1.0,65.0,8.0,1.0,2.0,8.0,104,green
3,681.0,2.0,78.0,16.0,5.0,11.0,2.0,104,green
3,699.0,1.0,75.0,11.0,0.0,3.0,5.0,97,green
3,699.0,2.0,42.0,13.0,3.0,6.0,4.0,97,green
